ProviderName,wc_sum
"ViaSat, Inc.",4554022314600
"VSAT Systems, LLC",4451553552642
"HNS License Sub, LLC",4450347741610
"AT&T Services, Inc.",3420853825024
"COMCAST CABLE COMMUNICATIONS, LLC",1490684854933
Time Warner Cable Inc.,845448997287
Frontier Communications Corporation,776695210390
"CenturyLink, Inc.",472136366754
"Charter Communications, Inc.",274873716334
Verizon New York Inc.,261142663094
"Cox Communications, Inc",229805942000
"BelWave Communications, Inc.",214447711906
"AirCanopy Internet Services, Inc.",181280557940
CSC Holdings LLC,160106937436
Verizon Pennsylvania LLC,150106063748
"WideOpenWest Cleveland, LLC",136640008050
Verizon New England Inc.,115519605701
StarTouch Broadband,110455767854
"Bright House Networks, LLC",106251282809
E-Vergent.Com LLC,106220926637
Verizon New Jersey Inc.,93534665050
AMG Technology Investment Group,85937132007
"Sonic Telecom, LLC",68716993271
"Brevard Wireless, Inc.",66544629521
Cruzio Media Inc.,65594834931
"XO Communications Services, LLC",
DirecTV,
"XO Communications Services, LLC",
DirecTV,
"Level 3 Communications, LLC",
"XO Communications Services, LLC",
DirecTV,
"Level 3 Communications, LLC",
